Scheme Name,Eligibility,Details,Apply Link,Age,Gender,State,Occupation,Category
Ladli Laxmi Scheme,Women for marriage,Financial assistance of Rs. 2 lakh for marriage,https://www.womenchild.goa.gov.in/schemes/ladli-laxmi-scheme/,18+,Female,Goa,Any,All
Griha Aadhar Scheme,Homemakers with annual family income below Rs. 3 lakh,Monthly financial assistance to homemakers,https://www.womenchild.goa.gov.in/schemes/griha-aadhar-scheme/,18+,Female,Goa,Homemaker,All
DSY (Dayanand Social Security) Scheme,Senior citizens/widows/disabled/HIV affected,Monthly pension to vulnerable sections,https://www.socialsecurity.goa.gov.in/,60+ (elderly)/18+ (disabled),All,Goa,Any,All
Debt Relief Scheme for Farmers,Farmers with loans,Loan waiver scheme for farmers,https://www.agri.goa.gov.in/,18+,All,Goa,Farmer,All
Mukhyamantri Amrutam Yojana,BPL families,Health insurance coverage of Rs. 5 lakh,https://magujarat.com/,All,All,Gujarat,Any,BPL
Vidya Sadhana Yojana,Girl students,Free education for girls,https://education.gujarat.gov.in/,Jun-18,Female,Gujarat,Student,All
Mukhyamantri Yuva Swavalamban Yojana,Students,Financial assistance for education,https://mysy.guj.nic.in/,18+,All,Gujarat,Student,All
Mukhyamantri Apprenticeship Scheme,Youth seeking apprenticeship,Financial assistance during apprenticeship,https://labour.gujarat.gov.in/,18-35,All,Gujarat,Apprentice,All
Sujalam Sufalam Jal Abhiyan,Communities in water scarce areas,Water conservation scheme,https://guj-nwrws.gujarat.gov.in/,NA,NA,Gujarat,NA,NA
Ladli Scheme,Girl child,Financial assistance to girl child,https://wcdharyana.gov.in/,0-18,Female,Haryana,NA,All
Mukhyamantri Vivah Shagun Yojana,Girls from poor families for marriage,Financial assistance for marriage expenses,https://socialjusticehry.gov.in/schemes/mukhya-mantri-vivah-shagun-yojana,18+,Female,Haryana,Any,All
Chirayu Haryana,All residents,Universal health coverage,https://chirayu.haryana.gov.in/,All,All,Haryana,Any,All
Skill Development Mission,Youth,Skill training and employment linkage,https://hsdm.org.in/,18-35,All,Haryana,Unemployed,All
Saksham Yuva Scheme,Educated unemployed youth,Unemployment allowance and skill training,https://sakshamyuva.hrex.gov.in/,18-35,All,Haryana,Educated Unemployed,All
Mukhyamantri Grihini Suvidha Yojana,Households without LPG connection,Free gas connections to households,https://hpmsss.in/,18+,All,Himachal Pradesh,Any,All
Himachal Grihini Suraksha Yojana,Women,Social security for homemakers,https://socialjustice.hp.gov.in/,18+,Female,Himachal Pradesh,Homemaker,All
Him Care Scheme,Families not covered under Ayushman Bharat,Health insurance coverage of Rs. 5 lakh,https://himcare.hp.gov.in/,All,All,Himachal Pradesh,Any,All
Mukhyamantri Swavlamban Yojana,Youth entrepreneurs,Subsidy for industrial enterprises,https://emerginghimachal.hp.gov.in/,18-45,All,Himachal Pradesh,Entrepreneur,All
Mukhya Mantri Shagun Yojana,Girls from BPL families for marriage,Financial assistance for marriage expenses,https://socialjustice.hp.gov.in/,18+,Female,Himachal Pradesh,Any,BPL
Mukhyamantri Kanya Ashirwad Yojana,Girl child,Financial assistance to girl child,https://jkgib.nic.in/cm_schemes.aspx,0-18,Female,Jharkhand,NA,All
Mukhyamantri Sukanya Yojana,Girl child,Financial assistance to girl child,https://wcdj.jharkhand.gov.in/,0-18,Female,Jharkhand,NA,All
Mukhyamantri Krishi Ashirwad Yojana,Farmers with land up to 5 acres,Direct cash transfer to small and marginal farmers,https://pmkisanjharkhand.jharkhand.gov.in/,18+,All,Jharkhand,Farmer,All
Mukhyamantri Mantri Cycle Yojana,School students,Free bicycles to students,https://scholarships.jharkhand.gov.in/,14-18,All,Jharkhand,Student,All
Jharkhand State Livelihood Promotion Society,Rural women,Women's self-help groups for livelihood promotion,https://jslps.org/,18+,Female,Jharkhand,Any,All
Vidya Lakshmi Scheme,Girl students from BPL families,Financial assistance for education,https://ssp.karnataka.gov.in/,Jun-18,Female,Karnataka,Student,BPL
Sandhya Suraksha Yojana,Senior citizens not covered under other schemes,Monthly pension to elderly,https://services.india.gov.in/service/detail/sandhya-suraksha-yojane,65+,All,Karnataka,Any,All
Bhagyalakshmi Scheme,Girl child from BPL families,Insurance bond for girl child,https://wcd.karnataka.gov.in/,0-18,Female,Karnataka,NA,BPL
Mukhyamantri Anila Bhagya Yojana,BPL households without LPG connection,Free LPG connection and two refills,https://secc.karnataka.gov.in/,18+,All,Karnataka,Any,BPL
Yashasvini Health Insurance Scheme,Farmers/rural population,Cooperative health insurance scheme,https://www.karnataka.gov.in/,All,All,Karnataka,Farmer/Rural Worker,All
We Care Scheme,Differently-abled persons,Comprehensive disability support,https://swd.kerala.gov.in/,All,All,Kerala,Any,Differently-abled
Karunya Health Insurance Scheme,BPL families,Health insurance coverage,https://finance.kerala.gov.in/,All,All,Kerala,Any,BPL
Snehapoorvam Scheme,Children who lost parents/from vulnerable backgrounds,Educational assistance,https://snehapoorvam.kerala.gov.in/,Jun-18,All,Kerala,Student,Orphaned/Vulnerable
Grihasree Housing Scheme,Homeless/landless,Housing scheme for poor,https://lsgkerala.gov.in/,18+,All,Kerala,Any,Homeless/Landless
Startup Mission,Entrepreneurs,Support for technology startups,https://startupmission.kerala.gov.in/,18+,All,Kerala,Entrepreneur,All
Ladli Laxmi Yojana,Girl child,Financial assistance for girl child education,https://ladlilaxmi.mp.gov.in/,0-21,Female,Madhya Pradesh,NA,All
Mukhyamantri Kanya Vivah Yojana,Girls from poor families for marriage,Financial assistance for marriage expenses,https://socialwelfare.mp.gov.in/,18+,Female,Madhya Pradesh,Any,All
Sambal Yojana,Unorganized sector workers,Social security for unorganized sector workers,https://shramik.mp.gov.in/sambal.htm,18+,All,Madhya Pradesh,Unorganized Sector,All
Mukhyamantri Yuva Swabhiman Yojana,Unemployed urban youth,Employment guarantee scheme for urban youth,https://mponline.gov.in/,18-29,All,Madhya Pradesh,Unemployed Urban Youth,All
Mukhyamantri Solar Pump Yojana,Farmers,Subsidized solar pumps for irrigation,https://mprenew.gov.in/,18+,All,Madhya Pradesh,Farmer,All
Manodhairya Scheme,Women and child victims of crime,Financial assistance and rehabilitation for victims of crime,https://womenchild.maharashtra.gov.in/,All,Female/Children,Maharashtra,NA,All
Shiv Bhojan Scheme,Low-income people,Subsidized meals at Rs. 10,https://mahafood.gov.in/,All,All,Maharashtra,Any,All
Mahatma Jyotirao Phule Jan Arogya Yojana,Families with annual income below Rs. 1.5 lakh,Health insurance coverage of Rs. 1.5 lakh,https://www.jeevandayee.gov.in/,All,All,Maharashtra,Any,Low Income
Chief Minister's Employment Generation Programme,Entrepreneurs,Subsidy for micro/small enterprises,https://www.myscheme.gov.in/schemes/cmegp,18-45,All,Maharashtra,Entrepreneur,All
Sanjay Gandhi Niradhar Anudan Yojana,Destitute persons,Financial assistance to destitute persons,https://socialjustice.maharashtra.gov.in/,18-65,All,Maharashtra,Any,Destitute
Chief Minister's Hakshel for All,School students,Interest-free educational loans,https://manipureducation.gov.in/,14-18,All,Manipur,Student,All
Manipur Startup Scheme,Entrepreneurs,Financial assistance for startups,https://startupmanipur.in/,18+,All,Manipur,Entrepreneur,All
Chief Minister's Health for All,All residents,Universal health coverage,https://manipur.gov.in/,All,All,Manipur,Any,All
Chief Minister's Widow Pension Scheme,Widows,Monthly pension to widows,https://manipur.gov.in/welfare/,18+,Female,Manipur,Any,Widows
Chief Minister's COVID-19 Affected Livelihood Support Scheme,Families affected by COVID-19,Financial assistance to families affected by COVID-19,https://manipur.gov.in/,18+,All,Manipur,Any,COVID-19 affected
Meghalaya Health Insurance Scheme,All residents,Health insurance coverage,https://meghealth.gov.in/,All,All,Meghalaya,Any,All
Chief Minister's Youth Development Scheme,Youth,Skill development and entrepreneurship support,https://megsports.gov.in/,18-35,All,Meghalaya,Any,All
Aquaculture Mission,Fish farmers,Development of fish farming,https://megfisheries.gov.in/,18+,All,Meghalaya,Fish Farmer,All
Muga Mission,Silk farmers,Development of muga silk production,https://sericulture.meghalaya.gov.in/,18+,All,Meghalaya,Silk Farmer,All
Chief Minister's Rural Development Program,Rural communities,Infrastructure development in rural areas,https://megcnrd.gov.in/,NA,NA,Meghalaya,NA,NA
New Land Use Policy,Rural families,Land-based sustainable livelihood,https://rural.mizoram.gov.in/,18+,All,Mizoram,Rural Worker,All
Socio-Economic Development Policy,All sectors,Comprehensive development policy,https://planning.mizoram.gov.in/,NA,NA,Mizoram,NA,NA
Healthcare Scheme,All residents,Universal healthcare coverage,https://health.mizoram.gov.in/,All,All,Mizoram,Any,All
Mizoram Youth Commission Schemes,Youth,Skill development and employment for youth,https://myc.mizoram.gov.in/,15-35,All,Mizoram,Youth,All
Dulloo Project,Farmers,Agricultural development project,https://agriculture.mizoram.gov.in/,18+,All,Mizoram,Farmer,All
Chief Minister's Corpus Fund Scheme,Entrepreneurs,Financial assistance for micro enterprises,https://industries.nagaland.gov.in/,18+,All,Nagaland,Entrepreneur,All
Chief Minister's Health Insurance Scheme,All residents,Health insurance coverage,https://health.nagaland.gov.in/,All,All,Nagaland,Any,All
Nagaland Job Creation Program,Unemployed youth,Employment generation initiative,https://labour.nagaland.gov.in/,18-35,All,Nagaland,Unemployed,All
Farmers' Welfare Program,Farmers,Agricultural development scheme,https://agriculture.nagaland.gov.in/,18+,All,Nagaland,Farmer,All
Entrepreneurs Associates Program,Youth entrepreneurs,Support for young entrepreneurs,https://industries.nagaland.gov.in/,18-40,All,Nagaland,Entrepreneur,All
Biju Swasthya Kalyan Yojana,All residents,Universal healthcare coverage,https://health.odisha.gov.in/,All,All,Odisha,Any,All
KALIA (Krushak Assistance for Livelihood and Income Augmentation),Farmers,Financial assistance to farmers,https://kalia.odisha.gov.in/,18+,All,Odisha,Farmer,All
Mamata Scheme,Pregnant and lactating mothers,Conditional cash transfer to pregnant and lactating mothers,https://wcdodisha.gov.in/,19-45,Female,Odisha,Any,All
Biju Pucca Ghar Yojana,Rural homeless,Housing scheme for rural homeless,https://ruralodisha.gov.in/,18+,All,Odisha,Any,Rural Homeless
Mission Shakti,Rural women,Women self-help groups for livelihood,https://missionsakthi.odisha.gov.in/,18+,Female,Odisha,Any,All
Mai Bhago Vidya Scheme,School girls,Free education for girls up to PhD level,https://educationrecruitmentboard.com/,May-25,Female,Punjab,Student,All
Ashirwad Scheme,SC/BC girls for marriage,Financial assistance for marriage expenses,https://sswcd.punjab.gov.in/en/schemes,18+,Female,Punjab,Any,SC/BC
Basera Scheme,Urban homeless,Housing scheme for urban homeless,https://pb.gov.in/,18+,All,Punjab,Any,Urban Homeless
Ghar Ghar Rozgar Yojana,Unemployed youth,Employment generation program,https://ghargharrozgar.punjab.gov.in/,18-35,All,Punjab,Unemployed,All
Smart Village Campaign,Rural communities,Rural infrastructure development,https://prbdb.gov.in/,NA,NA,Punjab,NA,NA
Mukhyamantri Chiranjeevi Swasthya Bima Yojana,All residents,Universal health insurance,https://chiranjeevi.rajasthan.gov.in/,All,All,Rajasthan,Any,All
Indira Gandhi Urban Credit Card Scheme,Urban street vendors,Interest-free loans to street vendors,https://lsg.urban.rajasthan.gov.in/,18+,All,Rajasthan,Street Vendor,All
Rajasthan Rural Livelihood Project,Rural women,Livelihood promotion for rural women,https://rajeevika.rajasthan.gov.in/,18+,Female,Rajasthan,Any,Rural
Mukhyamantri Kisan Saathi Yojana,Farmers,Electricity subsidy for farmers,https://energy.rajasthan.gov.in/,18+,All,Rajasthan,Farmer,All
Mukhyamantri Free Medicine Scheme,All residents,Free essential medicines,https://health.rajasthan.gov.in/,All,All,Rajasthan,Any,All
Sikkim Garib Awas Yojana,Rural poor,Housing scheme for rural poor,https://sikkim.gov.in/,18+,All,Sikkim,Any,Rural Poor
Chief Minister's Comprehensive Annual and Total Checkup for Healthy Sikkim,All residents,Preventive healthcare initiative,https://sikkim.gov.in/,All,All,Sikkim,Any,All
Sikkim Organic Mission,Farmers,Promotion of organic farming,https://sikkim.gov.in/departments/sikkim-organic-mission,18+,All,Sikkim,Farmer,All
Mukhya Mantri Krishi Samman Yojana,Farmers,Financial assistance to farmers,https://sikkim.gov.in/,18+,All,Sikkim,Farmer,All
Proud Mother Scheme,Pregnant women,Financial assistance to pregnant women,https://sikkim.gov.in/,19-45,Female,Sikkim,Any,All
Pudhumai Penn Scheme,Girl students,Financial assistance for higher education of girls,https://pudhupenn.tnschools.gov.in/,18+,Female,Tamil Nadu,Student,All
Dr. Muthulakshmi Reddy Maternity Benefit Scheme,Pregnant women,Maternity benefit scheme,https://tnhealth.tn.gov.in/,19-45,Female,Tamil Nadu,Any,All
Illam Thedi Kalvi Scheme,School students,Supplementary education at doorstep,https://illamthedikalvi.tnschools.gov.in/,May-18,All,Tamil Nadu,Student,All
Tamilnadu Urban Employment Scheme,Urban poor,Urban employment guarantee scheme,https://tnulm.tn.gov.in/,18+,All,Tamil Nadu,Urban Poor,All
Moovalur Ramamirtham Ammaiyar Higher Education Assurance Scheme,Girl students,Financial assistance for higher education,https://moovalur.tnscholarships.gov.in/,18+,Female,Tamil Nadu,Student,All
Rythu Bandhu,Farmers,Financial assistance to farmers,https://gadwal.telangana.gov.in/scheme/rythu-bandhu-scheme/,18+,All,Telangana,Farmer,All
Rythu Bima,Farmers,Life insurance scheme for farmers,https://agriculture.telangana.gov.in/rythu_bima.aspx,18-60,All,Telangana,Farmer,All
Kalyana Lakshmi/Shaadi Mubarak,Girls from poor families for marriage,Financial assistance for marriage expenses,https://wdsc.telangana.gov.in/,18+,Female,Telangana,Any,SC/ST/BC/Minorities/EBC
Asara Pensions,Senior citizens/widows/disabled/HIV affected,Pension scheme for vulnerable sections,https://tgsocialwelfare.telangana.gov.in/,57+ (elderly)/18+ (disabled),All,Telangana,Any,All
KCR Kit,Pregnant women delivering in government hospitals,Maternity benefit scheme,https://tgwdcw.telangana.gov.in/,19-45,Female,Telangana,Any,All
Tripura Urban Employment Scheme,Urban unemployed,Employment guarantee scheme for urban areas,https://tripura.gov.in/,18+,All,Tripura,Urban Unemployed,All
Rabi Krishi Yojana,Farmers,Agricultural development scheme,https://tripura.gov.in/,18+,All,Tripura,Farmer,All
Tripura State Health Assurance Scheme,All residents,Health insurance coverage,https://tripura.gov.in/,All,All,Tripura,Any,All
Nutan Disha,School education,Comprehensive education reform,https://tripura.gov.in/,May-18,All,Tripura,Student,All
Social Security Pension Scheme,Senior citizens/widows/disabled,Pension scheme for vulnerable sections,https://tripura.gov.in/,60+ (elderly)/18+ (disabled)/widows,All,Tripura,Any,All
Kanya Sumangala Yojana,Girl child,Financial assistance to girl child from birth to graduation,https://ksyojana.up.gov.in/,0-21,Female,Uttar Pradesh,NA,All
Chief Minister Youth Self Employment Scheme,Unemployed youth,Self-employment scheme for youth,https://www.myscheme.gov.in/schemes/mysyc,18-40,All,Uttar Pradesh,Unemployed,All
Mukhyamantri Kanya Vivah Anudan Yojana,Girls from poor families for marriage,Financial assistance for marriage expenses,https://scdd.up.gov.in/,18+,Female,Uttar Pradesh,Any,All
UP Skill Development Mission,Youth,Skill development initiative,https://upsdm.gov.in/,15-35,All,Uttar Pradesh,Unemployed,All
Mukhyamantri Krishak Durghatna Kalyan Yojana,Farmers,Accident insurance for farmers,https://upagripardarshi.gov.in/,18+,All,Uttar Pradesh,Farmer,All
Nanda Gaura Devi Kanya Dhan Yojana,Girl child from BPL families,Financial assistance to girl child,https://uttarakhandsocialwelfare.uk.gov.in/,0-18,Female,Uttarakhand,NA,BPL
Vatsalya Yojana,Women self-help groups,Financial assistance to women self-help groups,https://uttarakhandlh.uk.gov.in/,18+,Female,Uttarakhand,Any,All
Deendayal Upadhyaya Sahkarita Kisan Kalyan Yojana,Farmers,Agricultural development scheme,https://uttarakhandagriculture.in/,18+,All,Uttarakhand,Farmer,All
Mukhyamantri Swarojgar Yojana,Unemployed youth,Self-employment scheme for youth,"https://cmyuva.iid.org.in/home#:~:text=%E0%A4%AF%E0%A5%8B%E0%A4%9C%E0%A4%A8%E0%A4%BE%20%E0%A4%95%E0%A5%80%20%E0%A4%AE%E0%A5%81%E0%A4%96%E0%A5%8D%E0%A4%AF%20%E0%A4%AC%E0%A4%BE%E0%A4%A4%E0%A5%87%E0%A4%82,%E0%A4%B8%E0%A5%87%20%E0%A4%95%E0%A5%8C%E0%A4%B6%E0%A4%B2%20%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%B6%E0%A4%BF%E0%A4%95%E0%A5%8D%E0%A4%B7%E0%A4%A3%20%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%AE%E0%A4%BE%E0%A4%A3%20%E0%A4%AA%E0%A4%A4%E0%A5%8D%E0%A4%B0%E0%A5%A4",18-40,All,Uttarakhand,Unemployed,All
Atal Ayushman Uttarakhand Yojana,All residents,Universal health coverage,https://ayushmanuttarakhand.org/,All,All,Uttarakhand,Any,All
Kanyashree Prakalpa,Girl students,Financial assistance for education of girls,https://wbkanyashree.gov.in/,13-19,Female,West Bengal,Student,All
Rupashree Prakalpa,Girls from poor families for marriage,Financial assistance for marriage expenses,https://wb.gov.in/portal/web/guest/rupashree,18+,Female,West Bengal,Any,All
Lakshmir Bhandar,Women aged 25-60,Monthly financial assistance to women,https://socialsecurity.wb.gov.in/login,25-60,Female,West Bengal,Any,All
Swasthya Sathi,All residents,Universal health coverage,https://swasthyasathi.gov.in/,All,All,West Bengal,Any,All
Krishak Bandhu,Farmers,Financial assistance to farmers,https://krishakbandhu.net/,18+,All,West Bengal,Farmer,All
Post-Matric Scholarship for SC Students,"SC students with family income below Rs.2.5 lakh per annum, pursuing post-matriculation or post-secondary education","Financial assistance for SC students pursuing post-matriculation studies, covering tuition fees, maintenance allowance, etc.",https://scholarships.gov.in,16-24,All,All India,Student,SC
Central Sector Scheme of Scholarships for College and University Students,"Students in top 20 percentile in Class XII board exams, family income below Rs.8 lakh per annum","Provides 82,000 scholarships annually for undergraduate studies in sciences, humanities, commerce, and professional courses",https://scholarships.gov.in,Below 25,All,All India,Student,All Categories
National Scholarship Portal (NSP),Varies by specific scheme,Single window platform for multiple scholarship schemes from central and state governments,https://scholarships.gov.in,Jun-35,All,All India,Student,All Categories
Prime Minister's Research Fellowship (PMRF),"BTech/Integrated MTech/MSc from IITs, NITs, IISERs, IISc with CGPA 8.0 or above","Fellowship of Rs.70,000-80,000 per month plus research grant for pursuing PhD at IITs, IISERs, IISc",https://pmrf.in,No specific limit,All,All India,Student/Researcher,All Categories
National Talent Search Examination (NTSE),"Students of Class X, selection through two-stage written examination","Scholarship of Rs.1,250 per month for Class XI-XII and Rs.2,000 per month for undergraduates and postgraduates",https://ncert.nic.in/national-talent-examination.php,Below 18,All,All India,Student,All Categories
Merit-cum-Means Scholarship for Professional and Technical Courses,"Minority students (Muslims, Christians, Sikhs, Buddhists, Jains, Parsis) with family income below Rs.2.5 lakh per annum","Annual scholarship of Rs.20,000 for minority students in professional and technical courses",https://scholarships.gov.in,Below 30,All,All India,Student,Minorities
Pre-Matric Scholarship for Minorities,"Minority students (Muslims, Christians, Sikhs, Buddhists, Jains, Parsis) with family income below Rs.1 lakh per annum",Scholarship for minority students in classes I to X,https://scholarships.gov.in,Jun-15,All,All India,Student,Minorities
Kishore Vaigyanik Protsahan Yojana (KVPY),"Students in Class XI, XII, and first-year undergraduate science programs, selection through aptitude test and interview","Monthly scholarship ranging from Rs.5,000 to Rs.7,000 plus annual contingency grant",https://kvpy.iisc.ac.in,Below 22,All,All India,Student,All Categories
National Means-cum-Merit Scholarship (NMMS),"Students of Class VIII with family income below Rs.1.5 lakh per annum, selection through examination","Scholarship of Rs.12,000 per annum for four years for studies in classes IX to XII",https://mhrd.gov.in/nmms,13-15,All,All India,Student,All Categories
Pragati Scholarship Scheme for Girl Students,"Girl students admitted to AICTE-approved technical institutions, family income below Rs.8 lakh per annum","Scholarship of Rs.50,000 per annum for tuition fee and other expenses",https://www.aicte-pragati-saksham-gov.in,Below 30,Female,All India,Student,All Categories
Saksham Scholarship Scheme for Differently Abled Students,"Differently-abled students with 40% disability admitted to AICTE-approved technical institutions, family income below Rs.8 lakh per annum","Scholarship of Rs.50,000 per annum for tuition fee and other expenses",https://www.aicte-pragati-saksham-gov.in,Below 30,All,All India,Student,All Categories (Differently Abled)
Post-Matric Scholarship for OBC Students,OBC students with family income below Rs.1.5 lakh per annum,Financial assistance for pursuing studies after class X,https://scholarships.gov.in,16-32,All,All India,Student,OBC
Post-Matric Scholarship for ST Students,ST students with family income below Rs.2.5 lakh per annum,Financial assistance for ST students pursuing post-matriculation studies,https://scholarships.gov.in,16-32,All,All India,Student,ST
Credit Guarantee Fund Scheme for Education Loans (CGFSEL),"Students admitted to approved higher education institutions in India, family income criteria applicable",Guarantee for education loans up to Rs.7.5 lakh without collateral security and third-party guarantee,https://www.ncgtc.in,Below 35,All,All India,Student,All Categories
Swami Vivekananda Scholarship for Single Girl Child,"Only girl child in the family with no siblings, family income below specified limit",Scholarship for higher education to a single girl child in a family,https://www.ugc.ac.in,18-25,Female,All India,Student,All Categories
INSPIRE Scholarship for Higher Education (SHE),"Students in top 1% in Class XII board exams, pursuing science courses at bachelor's or master's level","Scholarship of Rs.80,000 per annum for pursuing Bachelor and Masters level education in natural and basic sciences",https://online-inspire.gov.in,17-22,All,All India,Student,All Categories
Ishan Uday Scholarship Scheme for North Eastern Region,"Students from North Eastern states with family income below Rs.8 lakh per annum, admitted through general entrance test","Scholarship of Rs.5,400-7,800 per month for general degree courses and technical/professional courses",https://scholarships.gov.in,Below 30,All,North Eastern States,Student,All Categories
Dr. Ambedkar Post-Matric Scholarship for Economically Backward Classes,Students from Economically Backward Classes (non-SC/ST/OBC) with family income below Rs.1 lakh per annum,Financial assistance for pursuing higher education,https://scholarships.gov.in,16-32,All,All India,Student,Economically Backward Classes
PG Scholarship for University Rank Holders,"Students securing first and second positions in undergraduate programs at universities, pursuing postgraduate courses","Scholarship of Rs.3,100 per month for two years for postgraduate studies",https://www.ugc.ac.in,Below 30,All,All India,Student,All Categories
Rajiv Gandhi National Fellowship for SC Students,SC students pursuing M.Phil/PhD with valid UGC-NET or CSIR-NET qualification,Fellowship for pursuing M.Phil and PhD programs,https://socialjustice.gov.in/schemes/29,Below 35,All,All India,Student/Researcher,SC
Rajiv Gandhi National Fellowship for ST Students,ST students pursuing M.Phil/PhD with valid UGC-NET or CSIR-NET qualification,Fellowship for pursuing M.Phil and PhD programs,https://scholarships.gov.in,Below 35,All,All India,Student/Researcher,ST
Maulana Azad National Fellowship for Minority Students,Minority students pursuing M.Phil/PhD with valid UGC-NET or similar qualification,Fellowship for pursuing M.Phil and PhD programs,https://www.minorityaffairs.gov.in/show_content.php?lang=1&level=1&ls_id=625&lid=107,Below 35,All,All India,Student/Researcher,Minorities
National Fellowship for OBC Students,OBC students pursuing M.Phil/PhD with valid UGC-NET or CSIR-NET qualification,Fellowship for pursuing M.Phil and PhD programs,https://scholarships.gov.in,Below 35,All,All India,Student/Researcher,OBC
CSIR Junior Research Fellowship (JRF),Postgraduate students qualified in CSIR-UGC NET for JRF or GATE with specified cut-off marks,"Fellowship of Rs.31,000 per month for first two years and Rs.35,000 per month for remaining tenure",https://csirhrdg.res.in,Below 35,All,All India,Student/Researcher,All Categories
UGC Junior Research Fellowship (JRF),Postgraduate students qualified in UGC-NET for JRF,"Fellowship of Rs.31,000 per month for first two years and Rs.35,000 per month for remaining tenure",https://www.ugc.ac.in,Below 35,All,All India,Student/Researcher,All Categories
DBT Junior Research Fellowship (JRF),Postgraduate students qualified in DBT-JRF examination,Fellowship for research in biotechnology,https://dbtindia.gov.in,Below 35,All,All India,Student/Researcher,All Categories
e-Shodh Sindhu,Students and faculty of member institutions,Access to academic journals and digital resources for research,https://ess.inflibnet.ac.in,All ages,All,All India,Student/Researcher/Faculty,All Categories
National Sports Scholarship,Students with achievements in recognized sports events at national or international level,Scholarships for sports achievers pursuing education,https://yas.nic.in,Dec-25,All,All India,Student/Sportsperson,All Categories
GATE Scholarship,Students admitted to ME/MTech programs through GATE,"Scholarship of Rs.12,400 per month for ME/MTech students in AICTE-approved institutions",https://www.aicte-india.org,Below 35,All,All India,Student,All Categories
Lakshmi Bai Social Security Pension Scheme (Delhi),Girl students from families with annual income below Rs.1 lakh,Monthly pension and financial assistance for education to girl students in Delhi,https://scholarships.delhi.gov.in,Jun-18,Female,Delhi,Student,All Categories
Chief Minister Scholarship Scheme (Himachal Pradesh),"Students with 70% or above marks in qualifying examination, family income criteria applicable",Scholarship for meritorious students,https://himachal.nic.in,Below 25,All,Himachal Pradesh,Student,All Categories
Mukhyamantri Medhavi Vidyarthi Yojana (Madhya Pradesh),"Students with 75% or above marks in Class XII, family income below Rs.6 lakh per annum",Scholarship for higher education in professional courses,https://scholarshipportal.mp.nic.in,Below 25,All,Madhya Pradesh,Student,All Categories
Free Laptop Scheme (Tamil Nadu),Students enrolled in government and government-aided colleges and polytechnics,Free laptop distribution to students in government/aided colleges,https://www.tn.gov.in/scheme,18-25,All,Tamil Nadu,Student,All Categories
Mukhyamantri Yuva Swarozgar Yojana (Uttarakhand),"Graduates/diploma holders from recognized institutions, residents of Uttarakhand",Financial assistance and loan for entrepreneurship,https://uttarakhand.gov.in,18-35,All,Uttarakhand,Student/Entrepreneur,All Categories
Mukhyamantri Rajshri Yojana (Rajasthan),"Girl students from Rajasthan, family income criteria applicable",Financial assistance for girl students at different stages of education,https://rajshri.rajasthan.gov.in,Jun-24,Female,Rajasthan,Student,All Categories
Mukhyamantri Kanya Utthan Yojana (Bihar),"Girl students from Bihar, family income criteria applicable",Financial assistance for girl students at different stages of education,https://wcd.bihar.gov.in,Below 25,Female,Bihar,Student,All Categories
Dr. Ambedkar Medhavi Vidyarthi Yojana (Uttar Pradesh),"Students with 60% or above marks in qualifying examination, family income below Rs.2 lakh per annum",Scholarship for meritorious students,https://scholarship.up.nic.in,Below 30,All,Uttar Pradesh,Student,All Categories
Gyanodaya Scheme (Gujarat),Girl students in rural areas studying in Class 9,Free bicycle distribution to girl students,https://education.gujarat.gov.in,14-16,Female,Gujarat,Student,All Categories
Pragati Scholarship (AICTE),"Girl students admitted to AICTE-approved institutions, family income below Rs.8 lakh per annum",Scholarship for girls pursuing technical education,https://www.aicte-india.org,Below 30,Female,All India,Student,All Categories
Mukhyamantri Balak & Balika Protsahan Yojana (Haryana),Students with specified attendance and academic performance,Cash incentives for students at different educational levels,https://scholarships.gov.in,Jun-18,All,Haryana,Student,All Categories
Pre-Matric Scholarship for SC Students,SC students with family income below Rs.2.5 lakh per annum,Financial assistance for SC students in classes IX and X,https://scholarships.gov.in,14-16,All,All India,Student,SC
Pre-Matric Scholarship for ST Students,ST students with family income below Rs.2.5 lakh per annum,Financial assistance for ST students in classes IX and X,https://scholarships.gov.in,14-16,All,All India,Student,ST
AICTE SWANATH Scholarship Scheme,Orphan students admitted to AICTE-approved institutions,Scholarship for orphan students pursuing technical education,https://www.aicte-india.org,Below 30,All,All India,Student,All Categories
Eklavya Model Residential Schools (EMRS),"ST students, selection through entrance examination",Quality education to tribal students with residential facilities,https://tribal.nic.in,Nov-18,All,All India,Student,ST
Dr. S. Radhakrishnan Post-Doctoral Fellowship in Humanities and Social Sciences,PhD degree holders below 35 years of age,Fellowship for pursuing post-doctoral research,https://www.ugc.ac.in,Below 35,All,All India,Researcher,All Categories
Vidyalakshmi Portal,Students seeking education loans for higher studies in India and abroad,Education loan portal for students,https://www.vidyalakshmi.co.in,17-35,All,All India,Student,All Categories
Financial Assistance for Education of the Wards of Beedi/Cine/IOMC/LSDM Workers,"Children of Beedi/Cine/IOMC/LSDM workers, family income criteria applicable",Scholarship for children of workers in specified industries,https://scholarships.gov.in,Jun-25,All,All India,Student,All Categories
